DATA;PRODUTIVIDADE_FINAL;PERDA_FINAL;TOTAL_DE_DIAS_SEM_CHUVA;CHUVA_DO_PERIODO;TEMPERATURA_MEDIA;MAIOR_TEMPERATURA_MAX;MENOR_TEMPERATURA_MIN;Estadual;Nacional
01/01/2018;70;29,75;81;483;21,1;37,7;7,2;36,63;36,75
02/01/2018;45,03;54,97;78;516;22,44;37,7;7,2;35,92;35,14
03/01/2018;28,04;71,96;85;459,6;23,61;37,7;7,3;34,9;34,25
04/01/2018;53,28;46,72;79;564;23,94;37,7;10,5;35,32;34,71
05/01/2018;55,17;44,83;78;505,2;23,42;35,4;10,5;35,87;35,17
06/01/2018;59,19;40,81;80;519,8;21,44;35,4;1,7;37,02;36,6
07/01/2018;74,21;25,79;75;505,4;18,53;35,1;-1,2;39,58;39,36
08/01/2018;84,91;15,09;76;434,6;16,21;34,7;-1,2;42,24;41,88
09/01/2018;94,19;5,81;74;494,2;13,54;29,3;-1,2;43,96;43,49
10/01/2018;94,63;5,37;70;584,6;13,94;32,8;-1,2;44,38;43,86
11/01/2018;86,22;13,78;75;575,4;15,96;32,8;0,1;41,9;41,43
12/01/2018;79,48;20,52;79;783,2;18,5;34,3;0,1;40,69;40,4
01/01/2019;62,15;37,85;78;739,2;21,26;37,1;7,7;40,2;40,14
02/01/2019;51,32;48,68;77;1037,6;22,73;37,1;8,8;40,4;40,17
03/01/2019;68,4;31,6;79;900;23,93;37,1;8,8;39,95;39,54
04/01/2019;55,22;44,78;74;841,4;23,62;37,1;8,8;40,37;40,11
05/01/2019;52,94;47,06;73;911,02;22,96;36,6;9,9;43,16;42,4
06/01/2019;73,07;26,93;72;591,86;21,13;36,4;5,3;44,46;44,07
07/01/2019;84,6;15,4;72;540,86;19,63;36;0,3;43,68;42,67
08/01/2019;83,54;17,44;73;565,66;17,44;33,6;-3,2;43,09;42,47
09/01/2019;82,67;17,33;77;393,85;15,64;29,7;-3,2;43,66;42,97
10/01/2019;80,28;19,72;86;271,6;15,26;31,9;-3,2;45,16;44,92
01/11/2019;72,62;27,38;78;477;15,88;37,4;-3,2;45,51;45,32
01/12/2019;57,67;42,33;76;474;18,43;37,4;1,7;45,94;45,24
01/01/2020;67,32;32,68;77;479;20,88;39,3;3,2;46,92;46,17
01/02/2020;42,76;57,24;77;502;23,14;39,3;8,8;48,69;47,88
01/03/2020;23,63;76,37;83;358;24,15;39,3;8,6;49,51;49,24
01/04/2020;31,4;68,6;93;235;24,68;40;8,6;51,79;51,43
01/05/2020;28,71;71,29;95;221;23,55;40;5,7;56,04;54,32
01/06/2020;28,38;71,62;94;331;21,15;40;3,3;61,35;58,33
01/07/2020;41,63;58,37;88;344;19,05;40;0,9;62,55;60,31
